Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT18x100,1,2450AT18A100,2450AT18A0100001
"C1, C13, C3, C7",0201,4,100nf,
"C10, C2, C4, C8",0201,4,1uF,
"C11, C12",0201,2,22pF,
"C14, C15, C5",0402,3,10uF,
C6,0201,1,1pF,
C9,0201,1,10nF,
D1,0603,1,LED,C2286
D2,0603,1,LED,C2287
D3,D_SOD-323,1,BAT60J,C116046
"H1, H2",PinHeader_1x08_P2.54mm_Vertical_EdgeMount_Castellated,2,Header_1x8,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C2765186
L1,0201,1,2.7nH,
L2,0201,1,3.9nH,
"R1, R2, R3, R4",0201,4,10k,
"R10, R9",0201,2,22Ω,
"R5, R6, R7, R8",0201,4,5.1k,
"SW1, SW2",SW_SPST_B3U-1000P,2,SW_Push,C49234124
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,ESP32-C3,
U2,SOT-23-5,1,ME6211C33M5G,C82942
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9010
