Designator,Mid X,Mid Y,Rotation,Layer
AE1,52.6,-51.6,180.0,top
C1,50.25,-48.175,270.0,top
C10,49.175,-40.775,90.0,top
C11,44.65,-47.35,270.0,top
C12,48.75,-46.9,90.0,top
C13,56.8,-43.945,90.0,top
C14,45.15,-44.75,180.0,top
C15,45.22,-40.4,0.0,top
C2,45.275,-45.475,180.0,top
C3,54.7,-47.575,270.0,top
C4,55.225,-47.575,270.0,top
C5,56.0,-47.6,270.0,top
C6,53.85,-47.83,135.0,top
C7,51.275,-40.1,90.0,top
C8,50.775,-40.1,90.0,top
C9,49.75,-40.775,90.0,top
D1,45.1,-35.525,90.0,top
D2,55.625,-40.95,0.0,top
D3,45.1,-32.025,90.0,top
H1,42.74,-40.165,0.0,top
H2,59.335,-40.165,0.0,top
J1,51.05,-32.05,180.0,top
L1,53.043952,-48.003952,135.0,top
L2,53.82,-48.783952,135.0,top
R1,57.5,-44.655,90.0,top
R10,47.55,-45.825,0.0,top
R2,54.425,-40.725,90.0,top
R3,57.5,-43.6,270.0,top
R4,53.875,-40.72,90.0,top
R5,45.055,-33.85,0.0,top
R6,56.85,-40.95,90.0,top
R7,56.755,-32.95,0.0,top
R8,56.755,-32.35,0.0,top
R9,47.55,-45.2,0.0,top
SW1,53.7,-38.425,90.0,top
SW2,48.2,-38.575,270.0,top
U1,51.78899,-44.263864,225.0,top
U2,45.8,-42.654607,90.0,top
Y1,46.65,-47.45,0.0,top
